출처,ID,이름,주소,주소_정규화,위도,경도,매칭이유,이름_정규화
소상공인상권,MA010120220807927503,씨유신길성애점,서울특별시 영등포구 영등포로72길 18,서울 영등포구 영등포로72길 18,37.5124586592062,126.918437527961,"주소매칭, 좌표매칭",씨유신길성애점
소상공인상권,MA010120220800368712,GS25영등포타운점,서울특별시 영등포구 당산로20길 9-2,서울 영등포구 당산로20길 9-2,37.5234975424527,126.897372942019,"이름매칭, 주소매칭, 좌표매칭",gs25영등포타운점
소상공인상권,MA010120220800397671,세븐비즈센터점주,서울특별시 영등포구 양산로 53,서울 영등포구 양산로 53,37.5256342788916,126.888919334365,주소매칭,세븐비즈센터점주
소상공인상권,MA010120220800397675,세븐S여의나루역점주,서울특별시 영등포구 여의동로 280,서울 영등포구 여의동로 280,37.5249679940267,126.939024388301,주소매칭,세븐s여의나루역점주
소상공인상권,MA0101202302A0078030,코리아세븐양평,서울특별시 영등포구 선유서로21길 14,서울 영등포구 선유서로21길 14,37.5227642327422,126.883866950587,주소매칭,코리아세븐양평
소상공인상권,MA0101202302A0053925,세븐일레븐선유비즈,서울특별시 영등포구 양평로21길 26,서울 영등포구 양평로21길 26,37.5362958257109,126.891833960812,주소매칭,세븐일레븐선유비즈
소상공인상권,MA0101202212A0094020,세븐대림중앙점,서울특별시 영등포구 대림로44길 5,서울 영등포구 대림로44길 5,37.5025491219023,126.897277219148,주소매칭,세븐대림중앙점
소상공인상권,MA010120220800353087,씨유문래남부점,서울특별시 영등포구 선유로 40,서울 영등포구 선유로 40,37.5173903097618,126.889135163894,"주소매칭, 좌표매칭",씨유문래남부점
소상공인상권,MA010120220802905718,세븐일레븐여의,서울특별시 영등포구 국회대로74길 20,서울 영등포구 국회대로74길 20,37.5295978403373,126.921552688369,주소매칭,세븐일레븐여의
소상공인상권,MA010120220800348589,세븐일레븐410호영등포2호,서울특별시 영등포구 영중로4길 9-4,서울 영등포구 영중로4길 9-4,37.517658457588,126.907572710718,주소매칭,세븐일레븐410호영등포2호
소상공인상권,MA0101202211A0100498,지에스25신길하늘,서울특별시 영등포구 도신로 256,서울 영등포구 도신로 256,37.5136842185002,126.918718969865,"주소매칭, 좌표매칭",지에스25신길하늘
소상공인상권,MA010120220800355478,씨유문래벤처점,서울특별시 영등포구 선유로 70,서울 영등포구 선유로 70,37.5201663353238,126.890137824701,주소매칭,씨유문래벤처점
소상공인상권,MA010120220810010711,GS25당산정고을점,서울특별시 영등포구 당산로49길 20,서울 영등포구 당산로49길 20,37.5364301653626,126.901190822286,"이름매칭, 주소매칭",gs25당산정고을점
소상공인상권,MA010120220800397482,세븐영등포역사점주,서울특별시 영등포구 경인로 846,서울 영등포구 경인로 846,37.5156673130525,126.907665657018,주소매칭,세븐영등포역사점주
소상공인상권,MA010120220802926077,씨유국회대로오피스점,서울특별시 영등포구 국회대로52길 3,서울 영등포구 국회대로52길 3,37.5250731682462,126.906884799335,주소매칭,씨유국회대로오피스점
소상공인상권,MA010120220809790371,씨유당산,서울특별시 영등포구 영신로57길 5,서울 영등포구 영신로57길 5,37.5281963690969,126.902819473584,2차검증,씨유당산
소상공인상권,MA0101202212A0021524,세븐대림두암점,서울특별시 영등포구 대림로29길 24,서울 영등포구 대림로29길 24,37.4950163666305,126.896880441835,주소매칭,세븐대림두암점
소상공인상권,MA0101202212A0054517,세븐일레븐오목교투웨니점,서울특별시 영등포구 선유서로25길 19,서울 영등포구 선유서로25길 19,37.524503241849,126.883943443567,"이름매칭, 주소매칭",세븐일레븐오목교투웨니점
소상공인상권,MA010120220800938727,GS25신길래미안,서울특별시 영등포구 신길로42길 20,서울 영등포구 신길로42길 20,37.5073639151508,126.912742796192,"주소매칭, 좌표매칭",gs25신길래미안
소상공인상권,MA010120220809817759,이마트24신세계영등포,서울특별시 영등포구 영중로3길 5,서울 영등포구 영중로3길 5,37.5167831454447,126.905877066727,"주소매칭, 좌표매칭",이마트24신세계영등포
소상공인상권,MA0101202210A0021145,씨유대림디지털점,서울특별시 영등포구 디지털로 404,서울 영등포구 디지털로 404,37.4925893877342,126.903679790556,"주소매칭, 좌표매칭",씨유대림디지털점
소상공인상권,MA010120220800821990,제이피앤지,서울특별시 영등포구 영신로 220,서울 영등포구 영신로 220,37.5268010007615,126.904269348079,주소매칭,제이피앤지
소상공인상권,MA010120220808823740,영등포성애점세븐일레븐,서울특별시 영등포구 여의대방로53길 22,서울 영등포구 여의대방로53길 22,37.512046842579,126.922362815596,주소매칭,영등포성애점세븐일레븐
소상공인상권,MA010120220809694615,씨유영등포,서울특별시 영등포구 도신로4길 25,서울 영등포구 도신로4길 25,37.5013771152811,126.896475874055,2차검증,씨유영등포
소상공인상권,MA010120220800350036,지에스25,서울특별시 영등포구 선유서로 117,서울 영등포구 선유서로 117,37.526163197073,126.886112949721,주소매칭,지에스25
소상공인상권,MA010120220800349545,GS25여의서린,서울특별시 영등포구 여의대방로65길 17,서울 영등포구 여의대방로65길 17,37.5197457213341,126.929221186522,주소매칭,gs25여의서린
소상공인상권,MA010120220807127732,GS25교직원공제회점,서울특별시 영등포구 여의나루로 50,서울 영등포구 여의나루로 50,37.521797817273,126.92565588965,"이름매칭, 주소매칭",gs25교직원공제회점
소상공인상권,MA010120220800351066,GS25여의,서울특별시 영등포구 국회대로62길 25,서울 영등포구 국회대로62길 25,37.5263245893142,126.917709719245,주소매칭,gs25여의
소상공인상권,MA010120220804265368,씨유대림;외식1018,서울특별시 영등포구 대림로31길 40,서울 영등포구 대림로31길 40,37.4958703460619,126.894640217412,주소매칭,씨유대림;외식1018
소상공인상권,MA010120220806915507,세븐양평까뮤스퀘어점,서울특별시 영등포구 양평로30길 14,서울 영등포구 양평로30길 14,37.5412039932614,126.889371477208,"주소매칭, 좌표매칭",세븐양평까뮤스퀘어점
소상공인상권,MA010120220805640413,씨유양평,서울특별시 영등포구 선유로47길 15,서울 영등포구 선유로47길 15,37.5354067159264,126.895025878041,주소매칭,씨유양평
소상공인상권,MA010120220808732496,늘한강,서울특별시 영등포구 양평로 24,서울 영등포구 양평로 24,37.5332607496517,126.903740648917,주소매칭,늘한강
소상공인상권,MA010120220806930455,CU영등포그랑그루점씨유,서울특별시 영등포구 문래로 191,서울 영등포구 문래로 191,37.5184929198719,126.903239281851,"주소매칭, 좌표매칭",cu영등포그랑그루점씨유
소상공인상권,MA010120220800450149,지에스25신대림,서울특별시 영등포구 시흥대로173길 13,서울 영등포구 시흥대로173길 13,37.4866055162954,126.902240185566,주소매칭,지에스25신대림
소상공인상권,MA010120220801521747,지에스25양평골드,서울특별시 영등포구 양평로24길 9,서울 영등포구 양평로24길 9,37.5402871771937,126.89174898993,주소매칭,지에스25양평골드
소상공인상권,MA010120220808037556,GS25당산공원점,서울특별시 영등포구 양산로19길 11,서울 영등포구 양산로19길 11,37.5253694958793,126.894949441572,"이름매칭, 주소매칭, 좌표매칭",gs25당산공원점
소상공인상권,MA0101202210A0053176,세븐일레븐여의진주점,서울특별시 영등포구 국제금융로 110,서울 영등포구 국제금융로 110,37.5184057506184,126.933566159237,"이름매칭, 주소매칭",세븐일레븐여의진주점
소상공인상권,MA0101202209A0004720,이마트24영등포푸른숲,서울특별시 영등포구 가마산로79길 46,서울 영등포구 가마산로79길 46,37.5081787903419,126.918295152287,주소매칭,이마트24영등포푸른숲
소상공인상권,MA010120220800851192,세븐여의１호점주,서울특별시 영등포구 국제금융로7길 22,서울 영등포구 국제금융로7길 22,37.5232438585187,126.933075433431,주소매칭,세븐여의１호점주
소상공인상권,MA010120220803055574,세븐영등포아트자이점,서울특별시 영등포구 도영로 66,서울 영등포구 도영로 66,37.5103903463214,126.900173279335,주소매칭,세븐영등포아트자이점
소상공인상권,MA010120220809894632,이마트24R영등포아자점,서울특별시 영등포구 영중로10길 6,서울 영등포구 영중로10길 6,37.5190358938647,126.906179656604,"이름매칭, 주소매칭, 좌표매칭",이마트24r영등포아자점
소상공인상권,MA010120220800202552,GS25영등포청과점,서울특별시 영등포구 영신로 175,서울 영등포구 영신로 175,37.5234290629176,126.901603908237,"이름매칭, 주소매칭",gs25영등포청과점
소상공인상권,MA010120220813992816,지에스25양평한아름점,서울특별시 영등포구 선유로51길 36,서울 영등포구 선유로51길 36,37.5382354091031,126.894524064663,"주소매칭, 좌표매칭",지에스25양평한아름점
소상공인상권,MA010120220800356554,세븐일레븐여의백상점,서울특별시 영등포구 국제금융로6길 30,서울 영등포구 국제금융로6길 30,37.5217173213898,126.926606197406,주소매칭,세븐일레븐여의백상점
소상공인상권,MA010120220813416602,세븐문래아르디세점,서울특별시 영등포구 선유로17길 24,서울 영등포구 선유로17길 24,37.5211274829283,126.887036887848,주소매칭,세븐문래아르디세점
소상공인상권,MA010120220805262894,지에스25당산양화점,서울특별시 영등포구 선유로52길 11,서울 영등포구 선유로52길 11,37.5359062594552,126.899618815043,주소매칭,지에스25당산양화점
소상공인상권,MA010120220801177551,씨유,서울특별시 영등포구 여의대방로 394,서울 영등포구 여의대방로 394,37.5193873954449,126.932773456967,주소매칭,씨유
소상공인상권,MA010120220800369082,씨유여의도역점,서울특별시 영등포구 여의나루로 42,서울 영등포구 여의나루로 42,37.5214730201695,126.924966167732,주소매칭,씨유여의도역점
소상공인상권,MA010120220802987325,씨유여의트레뉴점,서울특별시 영등포구 국제금융로2길 37,서울 영등포구 국제금융로2길 37,37.5229412201911,126.924285952113,주소매칭,씨유여의트레뉴점
소상공인상권,MA010120220812446113,지에스25여의,서울특별시 영등포구 여의대로 108,서울 영등포구 여의대로 108,37.5251967223703,126.929114222117,주소매칭,지에스25여의
소상공인상권,MA010120220809285169,세븐신길우성점,서울특별시 영등포구 대방천로 172,서울 영등포구 대방천로 172,37.4990095238398,126.909981860073,주소매칭,세븐신길우성점
소상공인상권,MA010120220810597931,지에스25선유도,서울특별시 영등포구 선유로49길 23,서울 영등포구 선유로49길 23,37.5361906153416,126.895058722477,주소매칭,지에스25선유도
소상공인상권,MA010120220800445377,지에스25영등포대길점,서울특별시 영등포구 대방천로 233,서울 영등포구 대방천로 233,37.4986722128717,126.9169032252,"주소매칭, 좌표매칭",지에스25영등포대길점
소상공인상권,MA010120220800427839,GS25보라매로점,서울특별시 영등포구 신풍로 113,서울 영등포구 신풍로 113,37.5001422192564,126.918869358827,"이름매칭, 주소매칭",gs25보라매로점
소상공인상권,MA010120220800343580,GS25당산래미안,서울특별시 영등포구 당산로 214,서울 영등포구 당산로 214,37.5329356392059,126.902824638499,주소매칭,gs25당산래미안
소상공인상권,MA010120220800398141,세븐여의도성모병원점주,서울특별시 영등포구 63로 10,서울 영등포구 63로 10,37.5182723392121,126.936733558334,주소매칭,세븐여의도성모병원점주
소상공인상권,MA010120220800397499,세븐양평점주,서울특별시 영등포구 양평로20길 5,서울 영등포구 양평로20길 5,37.5377857848186,126.8955090735,"주소매칭, 좌표매칭",세븐양평점주
소상공인상권,MA010120220812143121,씨유보라매SK뷰점,서울특별시 영등포구 여의대방로35가길 19,서울 영등포구 여의대방로35가길 19,37.5037452990232,126.917508317246,주소매칭,씨유보라매sk뷰점
소상공인상권,MA010120220800421464,씨유대림,서울특별시 영등포구 대림로 209,서울 영등포구 대림로 209,37.4992607988442,126.897677533456,주소매칭,씨유대림
소상공인상권,MA010120220800362634,GS25당산양남점,서울특별시 영등포구 선유동1로 12-1,서울 영등포구 선유동1로 12-1,37.5232133165633,126.891864163293,"주소매칭, 좌표매칭",gs25당산양남점
소상공인상권,MA010120220808438527,GS25문래시티점,서울특별시 영등포구 경인로 775,서울 영등포구 경인로 775,37.5147489529039,126.897543279645,"이름매칭, 주소매칭",gs25문래시티점
소상공인상권,MA010120220809207018,씨유도신로점,서울특별시 영등포구 도신로54길 11-2,서울 영등포구 도신로54길 11-2,37.5103389500865,126.915103231483,"주소매칭, 좌표매칭",씨유도신로점
소상공인상권,MA010120220804901189,세븐일레븐신길,서울특별시 영등포구 신길로38길 12,서울 영등포구 신길로38길 12,37.505831822797,126.912224326851,주소매칭,세븐일레븐신길
소상공인상권,MA010120220800344237,씨유오목교코업점,서울특별시 영등포구 영등포로3길 23,서울 영등포구 영등포로3길 23,37.5256737280015,126.883115793706,주소매칭,씨유오목교코업점
소상공인상권,MA010120220810147129,세븐여의아이비피아점,서울특별시 영등포구 국회대로72길 4,서울 영등포구 국회대로72길 4,37.5303355675046,126.919922766304,주소매칭,세븐여의아이비피아점
소상공인상권,MA010120220813283171,지에스25양평한신,서울특별시 영등포구 양평로24길 8,서울 영등포구 양평로24길 8,37.5391712885567,126.893232851163,"주소매칭, 좌표매칭",지에스25양평한신
소상공인상권,MA010120220800398003,세븐양평롯데점주,서울특별시 영등포구 양평로19길 12,서울 영등포구 양평로19길 12,37.5363161803507,126.894413623492,"주소매칭, 좌표매칭",세븐양평롯데점주
소상공인상권,MA010120220800368093,GS25당산진미점,서울특별시 영등포구 버드나루로19길 5,서울 영등포구 버드나루로19길 5,37.5284072716751,126.907389751093,"이름매칭, 주소매칭, 좌표매칭",gs25당산진미점
소상공인상권,MA010120220805150256,세븐일레븐영등포헤스티아점,서울특별시 영등포구 경인로108길 4,서울 영등포구 경인로108길 4,37.5171292337729,126.910650103102,"이름매칭, 주소매칭",세븐일레븐영등포헤스티아점
소상공인상권,MA010120220805398353,응응스크르서울,서울특별시 영등포구 선유로43가길 24,서울 영등포구 선유로43가길 24,37.5314305845897,126.892010692746,주소매칭,응응스크르서울
소상공인상권,MA010120220800360918,이마트24,서울특별시 영등포구 경인로 861,서울 영등포구 경인로 861,37.5171724542801,126.908263314645,"주소매칭, 좌표매칭",이마트24
소상공인상권,MA010120220800521010,GS25영등포충무점,서울특별시 영등포구 영신로32길 20,서울 영등포구 영신로32길 20,37.5189255304525,126.903397088626,"주소매칭, 좌표매칭",gs25영등포충무점
소상공인상권,MA010120220807936257,GS25여의도,서울특별시 영등포구 여의동로3길 10,서울 영등포구 여의동로3길 10,37.5181214350217,126.925195757663,주소매칭,gs25여의도
소상공인상권,MA010120220806479951,씨유영등포아크로,서울특별시 영등포구 국회대로54길 10,서울 영등포구 국회대로54길 10,37.5236582297787,126.906422744235,주소매칭,씨유영등포아크로
소상공인상권,MA010120220809772355,씨유영등포보성점,서울특별시 영등포구 국회대로 674,서울 영등포구 국회대로 674,37.5249486159579,126.908921244328,주소매칭,씨유영등포보성점
소상공인상권,MA010120220800446192,GS25대림,서울특별시 영등포구 디지털로54가길 2,서울 영등포구 디지털로54가길 2,37.488822617211,126.902994883624,"주소매칭, 좌표매칭",gs25대림
소상공인상권,MA010120220800398054,세븐문래파라곤주,서울특별시 영등포구 선유로11길 12,서울 영등포구 선유로11길 12,37.5185960255948,126.887413992216,주소매칭,세븐문래파라곤주
소상공인상권,MA010120220805367873,GS25당산NC점,서울특별시 영등포구 양평로 49,서울 영등포구 양평로 49,37.5341054163743,126.900990235581,"이름매칭, 주소매칭",gs25당산nc점
소상공인상권,MA010120220803553686,세븐일레븐양평,서울특별시 영등포구 양산로3길 9,서울 영등포구 양산로3길 9,37.5265856589936,126.885071514386,"주소매칭, 좌표매칭",세븐일레븐양평
소상공인상권,MA010120220809785208,씨유도림이슬점,서울특별시 영등포구 도림로112길 34,서울 영등포구 도림로112길 34,37.5094202107729,126.903726030263,"주소매칭, 좌표매칭",씨유도림이슬점
소상공인상권,MA010120220810313976,씨유여의광복회관점,서울특별시 영등포구 국회대로62길 15,서울 영등포구 국회대로62길 15,37.5270808837668,126.916928288299,주소매칭,씨유여의광복회관점
소상공인상권,MA010120220805535953,지에스25여의아일렉스,서울특별시 영등포구 여의대방로 375,서울 영등포구 여의대방로 375,37.5188996974936,126.930771703825,주소매칭,지에스25여의아일렉스
소상공인상권,MA010120220803172871,세븐일레븐여의아일렉스점,서울특별시 영등포구 의사당대로 108,서울 영등포구 의사당대로 108,37.5210128870586,126.923993785308,"이름매칭, 주소매칭",세븐일레븐여의아일렉스점
소상공인상권,MA010120220800397479,세븐당산２호점주,서울특별시 영등포구 당산로 104,서울 영등포구 당산로 104,37.5238751730345,126.896467419925,주소매칭,세븐당산２호점주
소상공인상권,MA010120220809732978,CU당산,서울특별시 영등포구 버드나루로20길 6,서울 영등포구 버드나루로20길 6,37.5287235036031,126.908520689464,"주소매칭, 좌표매칭",cu당산
소상공인상권,MA010120220800449645,GS25대방역점,서울특별시 영등포구 여의대방로62길 2,서울 영등포구 여의대방로62길 2,37.5138155631163,126.926670491177,"이름매칭, 주소매칭",gs25대방역점
소상공인상권,MA010120220807126333,세븐롯데뉴스테이문래점,서울특별시 영등포구 선유로9길 30,서울 영등포구 선유로9길 30,37.5184043618056,126.884869140204,주소매칭,세븐롯데뉴스테이문래점
소상공인상권,MA010120220807123650,지에스25양평지산점,서울특별시 영등포구 영등포로13길 18,서울 영등포구 영등포로13길 18,37.5240939819346,126.889362809229,"주소매칭, 좌표매칭",지에스25양평지산점
소상공인상권,MA010120220805524490,미니스톱양평우림점,서울특별시 영등포구 양산로 43,서울 영등포구 양산로 43,37.52575949991,126.887946244117,주소매칭,미니스톱양평우림점
소상공인상권,MA010120220800441975,씨유대림하나,서울특별시 영등포구 대림로27가길 19,서울 영등포구 대림로27가길 19,37.4966663441031,126.898189953872,"주소매칭, 좌표매칭",씨유대림하나
소상공인상권,MA010120220813474355,지에스25대림승리점,서울특별시 영등포구 도림로47길 13,서울 영등포구 도림로47길 13,37.496316382541,126.899864072464,"주소매칭, 좌표매칭",지에스25대림승리점
소상공인상권,MA010120220808260638,CU여의도솔로몬,서울특별시 영등포구 여의대방로69길 19,서울 영등포구 여의대방로69길 19,37.5206023860499,126.930419456602,"주소매칭, 좌표매칭",cu여의도솔로몬
소상공인상권,MA010120220805320615,지에스25문래영시티점,서울특별시 영등포구 문래로28길 25,서울 영등포구 문래로28길 25,37.516390861659,126.899972992499,주소매칭,지에스25문래영시티점
소상공인상권,MA010120220803510464,GS25영등포프레비뉴,서울특별시 영등포구 가마산로 442,서울 영등포구 가마산로 442,37.5051349716146,126.90817625829,주소매칭,gs25영등포프레비뉴
소상공인상권,MA010120220811505288,지에스25대림나누리점,서울특별시 영등포구 대림로31길 26,서울 영등포구 대림로31길 26,37.4962770207632,126.896019270374,"주소매칭, 좌표매칭",지에스25대림나누리점
소상공인상권,MA010120220807417545,씨유편의점양평이레빌딩점,서울특별시 영등포구 선유동2로 57,서울 영등포구 선유동2로 57,37.5338225819764,126.896872290643,주소매칭,씨유편의점양평이레빌딩점
소상공인상권,MA010120220813833764,GS25대림제일,서울특별시 영등포구 시흥대로 591,서울 영등포구 시흥대로 591,37.4857323679323,126.90324762913,주소매칭,gs25대림제일
소상공인상권,MA010120220800398215,세븐전경련회관점주,서울특별시 영등포구 여의대로 24,서울 영등포구 여의대로 24,37.5221814910512,126.919908857212,주소매칭,세븐전경련회관점주
소상공인상권,MA010120220800426268,세븐일레븐하나텔점,서울특별시 영등포구 도영로 18,서울 영등포구 도영로 18,37.5080887580141,126.895516551189,주소매칭,세븐일레븐하나텔점
소상공인상권,MA010120220814236084,세븐일레븐영등포,서울특별시 영등포구 도신로29길 28,서울 영등포구 도신로29길 28,37.5123019695887,126.901957841917,2차검증,세븐일레븐영등포
소상공인상권,MA010120220800397537,세븐당산３호점주,서울특별시 영등포구 영등포로 157,서울 영등포구 영등포로 157,37.5210933795399,126.899129616756,"주소매칭, 좌표매칭",세븐당산３호점주
소상공인상권,MA010120220803214738,지에스25영등포현대,서울특별시 영등포구 영등포로33길 3-1,서울 영등포구 영등포로33길 3-1,37.520852827844,126.902365202402,"주소매칭, 좌표매칭",지에스25영등포현대
소상공인상권,MA010120220810026619,지에스25여의월드점,서울특별시 영등포구 여의대방로68길 15,서울 영등포구 여의대방로68길 15,37.5179638691603,126.932876539075,주소매칭,지에스25여의월드점
소상공인상권,MA010120220807110581,이마트24대림,서울특별시 영등포구 신길로15길 14,서울 영등포구 신길로15길 14,37.4971599810785,126.906783766194,2차검증,이마트24대림
소상공인상권,MA010120220812497744,씨유당산뉴보문점,서울특별시 영등포구 당산로38길 12,서울 영등포구 당산로38길 12,37.5286620381668,126.899413571138,"주소매칭, 좌표매칭",씨유당산뉴보문점
소상공인상권,MA010120220804107837,GS25당산SK점,서울특별시 영등포구 당산로41길 11,서울 영등포구 당산로41길 11,37.5308144985413,126.898324574262,주소매칭,gs25당산sk점
소상공인상권,MA010120220803435462,씨유문래라이프,서울특별시 영등포구 경인로77길 19,서울 영등포구 경인로77길 19,37.5129689991073,126.891958121504,주소매칭,씨유문래라이프
소상공인상권,MA010120220804176933,씨유신길도림점,서울특별시 영등포구 도신로 120,서울 영등포구 도신로 120,37.5082052265532,126.905424120022,주소매칭,씨유신길도림점
소상공인상권,MA010120220813822156,세븐문래SK점,서울특별시 영등포구 선유로9길 10,서울 영등포구 선유로9길 10,37.5178659660267,126.88715492107,주소매칭,세븐문래sk점
소상공인상권,MA010120220800397602,세븐영등포시장점주,서울특별시 영등포구 영등포로 236-1,서울 영등포구 영등포로 236-1,37.5191631488556,126.907593478487,"주소매칭, 좌표매칭",세븐영등포시장점주
소상공인상권,MA010120220800364588,GS25당산,서울특별시 영등포구 양평로 16,서울 영등포구 양평로 16,37.5328919643124,126.904510469632,주소매칭,gs25당산
소상공인상권,MA010120220800362787,GS25여의성우,서울특별시 영등포구 국회대로66길 17,서울 영등포구 국회대로66길 17,37.5285332428985,126.919449535879,"주소매칭, 좌표매칭",gs25여의성우
소상공인상권,MA010120220800397536,세븐영등포６호점주,서울특별시 영등포구 영등포로 252,서울 영등포구 영등포로 252,37.5188220746836,126.909279357039,주소매칭,세븐영등포６호점주
소상공인상권,MA010120220800361043,씨유영등포신길레트로점,서울특별시 영등포구 경인로112길 13,서울 영등포구 경인로112길 13,37.5181050975634,126.91440442078,주소매칭,씨유영등포신길레트로점
소상공인상권,MA010120220800470441,세븐신길２호점주,서울특별시 영등포구 가마산로61길 19,서울 영등포구 가마산로61길 19,37.5067627737504,126.904374111819,"주소매칭, 좌표매칭",세븐신길２호점주
소상공인상권,MA010120220807908713,씨유보라매파크점,서울특별시 영등포구 여의대방로 89,서울 영등포구 여의대방로 89,37.497302453407,126.916576794979,주소매칭,씨유보라매파크점
소상공인상권,MA010120220809732704,세븐일레븐대림이가채점,서울특별시 영등포구 디지털로70길 16,서울 영등포구 디지털로70길 16,37.4930781751291,126.906472217709,"이름매칭, 주소매칭, 좌표매칭",세븐일레븐대림이가채점
소상공인상권,MA010120220813567795,지에스25여의쌍마점,서울특별시 영등포구 여의나루로 81,서울 영등포구 여의나루로 81,37.5243219143759,126.927734908951,주소매칭,지에스25여의쌍마점
소상공인상권,MA010120220800354365,세븐일레븐영등포영일점,서울특별시 영등포구 영신로19길 14,서울 영등포구 영신로19길 14,37.5141976188452,126.90632144677,"이름매칭, 주소매칭, 좌표매칭",세븐일레븐영등포영일점
소상공인상권,MA010120220803247818,이마트24대림차이나점,서울특별시 영등포구 디지털로37길 17,서울 영등포구 디지털로37길 17,37.490215143272,126.898198710345,"이름매칭, 주소매칭, 좌표매칭",이마트24대림차이나점
소상공인상권,MA010120220804532752,이마트24당산국회대로점,서울특별시 영등포구 국회대로38길 18,서울 영등포구 국회대로38길 18,37.5254538378187,126.898671234039,"이름매칭, 주소매칭, 좌표매칭",이마트24당산국회대로점
소상공인상권,MA010120220809877820,세븐장훈고점,서울특별시 영등포구 영등포로64길 23,서울 영등포구 영등포로64길 23,37.5129617014775,126.916265284962,주소매칭,세븐장훈고점
소상공인상권,MA010120220800397494,세븐영등포３호점주,서울특별시 영등포구 영중로 134-1,서울 영등포구 영중로 134-1,37.5282981602102,126.906134117569,"주소매칭, 좌표매칭",세븐영등포３호점주
소상공인상권,MA010120220802961582,지에스25영등포당일점,서울특별시 영등포구 영등포로27길 8,서울 영등포구 영등포로27길 8,37.5216250380028,126.899208086562,"주소매칭, 좌표매칭",지에스25영등포당일점
소상공인상권,MA010120220806751359,씨유신길역점,서울특별시 영등포구 영등포로 353,서울 영등포구 영등포로 353,37.5151253857251,126.918083977379,주소매칭,씨유신길역점
소상공인상권,MA010120220811676214,지에스25신길,서울특별시 영등포구 가마산로77길 1,서울 영등포구 가마산로77길 1,37.5050855008293,126.914283570733,주소매칭,지에스25신길
소상공인상권,MA010120220803590560,세븐일레븐영등포영신점,서울특별시 영등포구 영등포로36길 3,서울 영등포구 영등포로36길 3,37.5197638498373,126.903871109357,주소매칭,세븐일레븐영등포영신점
